"Year","Volume_an_surf","Temp_an_surf","Sal_an_surf","Temp_win_surf","DIN_win_surf","DIP_win_surf","totN_an_surf","totP_an_surf","Temp_sum_surf","Chla_sum_surf","Secchi_sum","DOC_sum_surf","DOCter_sum_surf","Volume_an_tot","Temp_an_tot","Sal_an_tot","DIN_an_tot","DIP_an_tot","totN_an_tot","totP_an_tot","DOC_an_tot","DOCter_an_tot","PP_an","Nfix_an","AvOxy","Oxdebt","AnoxicArea","HypoxicArea","codRV"
2022,134129390000,11.2510413333333,7.96257781666667,5.02171055,2.93155337214286,0.360674879032258,18.927991307656,0.575209012937762,17.27645175,1.3825386674047,5.51118676307917,4449.620931025,3043.208373525,378887490000,10.94742575,9.07119714166667,2.93155337214286,0.360674879032258,19.059953170449,0.638257792956387,4449.620931025,3043.208373525,191.4346552558,1.43914467419687,8.18152529166666,1.985254175,38.4843572054795,366.189623972603,56.8772735068493
2023,134129390000,11.2639980833333,7.94558805833333,4.35411745,2.56405885321429,0.436642467741935,19.6881093797084,0.659558790297832,18.050387,2.16182409507014,4.44605043333523,4775.5822922,3028.5946472,378887490000,10.7319139833333,8.7325503,2.56405885321429,0.436642467741935,19.701473009308,0.713657039184828,4775.5822922,3028.5946472,273.353088871855,2.64795627012018,8.54678024594595,1.80393339518919,80.264982,324.439744630137,42.6771186079452
2024,134129390000,10.7340946166667,8.0196452,4.29770985,3.09223789392857,0.434822209677419,19.6550326579048,0.628560506120234,16.4750295,1.78818027988113,4.95735622831345,4609.29294025,3014.07944025,378887490000,10.390755975,8.7700509,3.09223789392857,0.434822209677419,19.7526004769638,0.675993618876311,4609.29294025,3014.07944025,221.007026765597,2.42837771178866,8.59038231111111,1.88817174711944,1.42487161202186,206.554106229508,46.8926189153006
2025,134129390000,10.9095610083333,7.90999875833333,5.57396695,3.58870061321429,0.445137483870968,19.689940491966,0.623894994684023,16.42171675,1.8502492081275,4.88432345123699,4630.20313375,3023.65692125,378887490000,10.581929425,8.40535245,3.58870061321429,0.445137483870968,19.8397794527957,0.663826180875173,4630.20313375,3023.65692125,243.137932631315,2.65910507601972,8.74109334594595,1.766110601,0,62.9904715068493,28.5141538652876
2026,134129390000,10.4622981166667,7.71667153333333,3.11670805,3.4335870725,0.410259129032258,19.3202831650921,0.590056497290503,17.2540095,1.55280667884209,5.30614358573405,4508.909354,3038.704114,378887490000,9.99777340833333,8.33686475833333,3.4335870725,0.410259129032258,19.4440304225693,0.633839575554048,4508.909354,3038.704114,228.059651480997,2.42846710166747,8.74322638611111,2.06438700086111,51.2906535342466,297.99246109589,31.209648019863
2027,134129390000,9.570178625,7.59227931666667,3.2437715,3.45219372428571,0.377728919354839,18.9107390627562,0.535854444444504,15.530625,1.14771326299467,5.95930309579487,4295.893233,3066.6425055,378887490000,9.21019641666667,8.21591860833333,3.45219372428571,0.377728919354839,19.0935166620446,0.585391851960463,4295.893233,3066.6425055,137.641418075833,1.60740806670023,9.28334291351351,1.57828209356757,21.7758936164384,181.763684,32.3049918494246
2028,134129390000,10.245935625,7.78109170833333,3.76261895,3.33706032607143,0.365698435483871,18.5289998551833,0.521055082182789,16.98543925,1.0430838160061,6.05420658303633,4281.6977615,3047.778734,378887490000,9.86183749166667,8.57923298333333,3.33706032607143,0.365698435483871,18.7603505675785,0.582410456004542,4281.6977615,3047.778734,161.524346800934,1.62558904229896,8.76265135945946,1.78173261540541,0,62.0788607923497,47.6993905655737
2029,134129390000,11.0495068416667,7.652855025,5.37943995,2.80319257071429,0.340915732258064,18.5588136096255,0.512262460473392,16.9398155,1.45385897980359,5.61623222491336,4375.88427075,3053.08245325,378887490000,10.7504572583333,8.31127533333333,2.80319257071429,0.340915732258064,18.8268529185134,0.579187593506276,4375.88427075,3053.08245325,186.52062481577,2.21084210812124,7.90875270555555,2.42796223694444,25.7773953972603,452.941830410959,37.2488601479452
2030,134129390000,11.2974471416667,7.48074144166667,5.46805295,2.74641771428571,0.316878769354839,18.3205668386405,0.491517766978096,17.076018,1.12965877717761,5.97228288793092,4292.108347475,3068.420654975,378887490000,10.912633975,8.468118425,2.74641771428571,0.316878769354839,18.5056359777702,0.557764509653518,4292.108347475,3068.420654975,154.731450240766,1.54063646082505,8.19999320540541,2.13623576081081,9.05954457534247,515.090406712329,54.378650269726
2031,134129390000,11.2191779583333,7.544272625,4.00184045,2.72859856178571,0.322672133870968,18.368404663316,0.495310763701089,17.1029355,1.13227910844051,5.96219449043138,4295.0500135,3060.8090135,378887490000,10.8517666833333,8.57212365,2.72859856178571,0.322672133870968,18.5713149450384,0.576514091581029,4295.0500135,3060.8090135,154.860770703678,1.48191702639177,7.60447543694444,2.70577058583333,244.179305479452,665.017355260274,52.925353496674
2032,134129390000,11.1081617583333,7.52811560833333,5.7560408,2.92889496321429,0.362188161290323,18.4034380467131,0.526933622327952,17.47280225,1.16570169411345,5.91023672878662,4309.1114645,3066.1185645,378887490000,10.6844942,8.35237223333333,2.92889496321429,0.362188161290323,18.5639984547689,0.585150361278486,4309.1114645,3066.1185645,174.516796545393,1.851453748611,8.49132476486486,1.92181073605405,25.9704813114754,196.290097540984,46.1316428224044
2033,134129390000,10.7199257083333,7.25726143333333,3.398245,2.85661042,0.339302066129032,18.429514516548,0.515368905871306,17.72604025,1.18219401907344,5.87332698786244,4327.4262145,3085.5719695,378887490000,10.102274375,7.84752295833333,2.85661042,0.339302066129032,18.5423006941929,0.559837599101924,4327.4262145,3085.5719695,164.246076521114,1.62339167309494,9.31162331388889,1.53862794758642,8.87978520547945,158.315261643836,29.2765903758356
2034,134129390000,11.7995411916667,7.43549028333333,5.47668,2.86662876928571,0.320938585483871,18.0536942498651,0.489430952444937,17.97630325,1.19824595707635,5.92927807449518,4296.22498,3074.9961175,378887490000,11.4459154,8.116565,2.86662876928571,0.320938585483871,18.2288546216137,0.545842846994105,4296.22498,3074.9961175,174.735654322808,1.8518258544323,8.29905403243243,1.98489370632432,79.9208596438356,449.56281879452,34.0644305330137
2035,134129390000,11.2520312333333,7.56012906666667,5.2555185,3.02838804357143,0.35565085483871,18.2494228032339,0.520841141436123,17.6164015,1.29031213083067,5.66349706648925,4409.56370475,3046.39247975,378887490000,10.7704788333333,8.19262058333333,3.02838804357143,0.35565085483871,18.4013188139425,0.570039086259837,4409.56370475,3046.39247975,201.422860266195,1.934986674094,9.12293002777778,1.42828876263889,6.9689997260274,186.089710054794,32.8742365972329
2036,134129390000,11.2492674666667,7.204053275,4.74175155,2.96687783214286,0.345413937096774,17.9840642383896,0.501310658550065,17.336016,1.14018511849937,5.93813813479492,4307.90360675,3081.89303925,378887490000,10.8638236333333,7.6285887,2.96687783214286,0.345413937096774,18.1883222585406,0.552692817892615,4307.90360675,3081.89303925,165.577749670653,1.74296938537406,8.49128321351351,2.08910696791351,115.346229426229,452.488933306011,15.4749571086339
2037,134129390000,11.5035512583333,7.25785291666667,5.9883838,2.85523828607143,0.34595859516129,17.9062023868578,0.500774755921841,17.0113665,1.20454773173042,5.91641736334274,4296.21625725,3098.25253475,378887490000,11.19525705,7.92837699166667,2.85523828607143,0.34595859516129,18.0656646377332,0.55150011845004,4296.21625725,3098.25253475,156.568417146925,1.54759597248041,8.85180836388889,1.50663357497778,12.3838597534247,229.302343315068,34.2441618767123
2038,134129390000,11.0980046,7.56708469166667,5.1857347,2.92120095785714,0.350883241935484,17.7204960069306,0.507277900989765,17.34161075,1.19793178926249,5.95484644178719,4271.98436925,3066.94425675,378887490000,10.6669311083333,8.18293126666667,2.92120095785714,0.350883241935484,17.8522837545835,0.553290503828633,4271.98436925,3066.94425675,164.619625997418,1.9490838582607,8.83046768918919,1.63917588640541,6.8824324109589,268.14686690411,34.4581505086302
2039,134129390000,11.7946230416667,7.10329231666667,5.3088102,3.02909629714286,0.39280764516129,17.556104760576,0.526729994838373,17.93659325,1.17336473200532,5.80610706162107,4368.968064,3102.144524,378887490000,11.2908409333333,7.388496425,3.02909629714286,0.39280764516129,17.7292935827363,0.563473857576622,4368.968064,3102.144524,183.88290314618,1.24637886838291,9.20227602777778,1.44384923540709,0,84.8101464657534,5.45338912969863
2040,134129390000,11.160455125,6.86354063333333,5.07783415,2.90232291285714,0.3987515,17.4448534335263,0.511410156022781,16.2489125,1.13318570841813,5.96172444280268,4289.379444,3101.805514,378887490000,10.8191143,7.37709731666667,2.90232291285714,0.3987515,17.7478602706117,0.565891282383622,4289.379444,3101.805514,153.600290087092,1.75737134931491,8.6408039945946,1.97431736295087,2.81433829781421,253.384892076503,19.357834215847
2041,134129390000,11.7011019833333,6.897372525,5.62574905,2.56378346928571,0.316854262903226,17.0506665802251,0.454002785433595,18.18357675,0.969363778460729,6.24462140420626,4198.96660425,3124.23564175,378887490000,11.1316431083333,7.64915210833333,2.56378346928571,0.316854262903226,17.2736201075616,0.515661939954434,4198.96660425,3124.23564175,152.197190592026,1.49407083494206,8.63076185833333,1.7804454275,26.8670724657534,181.957189287671,36.2004165389041
2042,134129390000,11.41944915,7.002717425,4.74409485,2.7712443625,0.306457643548387,16.9270361127106,0.439574265803564,17.61229425,0.9474250545838,6.37360829873299,4124.97148625,3106.65610875,378887490000,10.970127025,7.746848175,2.7712443625,0.306457643548387,17.162388446644,0.495740965310642,4124.97148625,3106.65610875,137.389757678724,1.52417737456813,8.83161064864865,1.61386902027027,1.52095953424658,199.059595863014,35.2337730730411
2043,134129390000,11.6922566,6.92102624166667,5.4314923,2.88078954464286,0.307565437096774,16.9462786714359,0.437570851124934,17.66803675,0.932042170192033,6.29423553415616,4183.615624,3108.136929,378887490000,11.1584157416667,7.455307625,2.88078954464286,0.307565437096774,17.1259023911718,0.488161955453688,4183.615624,3108.136929,145.965637292166,1.48348449122859,8.84391840833334,1.56331221626056,22.9382726027397,235.043321890411,22.2350037421644
2044,134129390000,10.5601770833333,6.763711725,3.00448275,3.19828182857143,0.303793074193548,16.6714567371066,0.395118036414573,17.243178,0.6789208570196,6.73574336847078,4033.70998225,3127.59774725,378887490000,9.74012294166667,7.61562449166667,3.19828182857143,0.303793074193548,16.8443688083911,0.448444397241579,4033.70998225,3127.59774725,94.4816324006358,0.948456301054559,9.32124476756757,1.55883503610811,14.9046424043716,146.971321284153,38.9231893010109
2045,134129390000,11.5340987916667,6.98862219166667,4.6056517,2.62172540035714,0.272433120967742,16.4014885005899,0.411920427514006,18.4955875,0.771150412212267,6.56098057093897,4091.253371275,3123.127723775,378887490000,11.1063158416667,8.024834275,2.62172540035714,0.272433120967742,16.6251002948079,0.475250511799504,4091.253371275,3123.127723775,121.255973071919,0.577977921726206,8.40968075555556,1.793387800875,19.6625735890411,449.23298419178,47.0961935654795
2046,134129390000,10.8748915583333,6.93590254166667,4.2047954,2.47670995857143,0.308295272580645,16.5031099798384,0.411662104935288,17.1770335,0.894177407905871,6.5111933478848,4062.96915975,3097.96349475,378887490000,10.5461383333333,7.84720695,2.47670995857143,0.308295272580645,16.7275470563241,0.479905578419039,4062.96915975,3097.96349475,120.261571645955,1.30170717199849,8.17364267297297,2.17152865302703,41.4260693424657,285.789397835617,45.1515036249315
