"Year","Temp_an_surf","Sal_an_surf","Temp_win_surf","DIN_win_surf","DIP_win_surf","totN_an_surf","totP_an_surf","Temp_sum_surf","Chla_sum_surf","DOC_sum_surf","DOCter_sum_surf","Temp_an_tot","Sal_an_tot","DIN_an_tot","DIP_an_tot","totN_an_tot","totP_an_tot","DOC_an_tot","DOCter_an_tot","PP_an","Nfix_an","Secchi_sum"
2021,11.4918815284772,21.6577792227738,4.35616660107569,4.83956801685877,0.524228294966212,16.9254712459907,0.667607215990979,17.7736701598558,1.16413917927083,3372.44214988072,1860.60809345748,9.95289134812071,26.8707208696971,4.8626428167532,0.523374096599393,18.8289914541489,0.877454980359992,3344.26965087977,1848.33596833094,196.444750710995,0.995077957349855,7.18666297096504
2022,10.3586366570584,23.1768348561693,2.93336322480192,6.5776346834434,0.631837182794385,17.0152698786341,0.67554379116092,16.4746131249763,1.24590568183523,2938.78487791616,1567.27542667063,9.32337030484082,27.5661920885959,6.58350137368157,0.629647847155825,18.6031310859208,0.855188594118207,2916.52443884414,1558.30932174886,180.319652550971,0.783855782602639,7.62488546147331
2023,10.593275673482,20.0948679237343,4.17227260598004,4.53893440824307,0.500714088000294,16.895431471473,0.645063652894033,17.0872471870851,1.13079629237888,3337.90143212995,1984.18775111869,9.42537514215968,26.2345172277559,4.56995580741719,0.500492770398472,18.6697034960699,0.874754598502907,3312.9846359856,1970.9219931565,155.935071260934,0.742563920564817,7.26042424651995
2024,10.718735627568,22.5559131086695,3.85943304633257,6.03277985833572,0.649973478700954,16.5281448065926,0.688313185476657,16.4924520428616,1.36582171242608,3110.55879065494,1710.37772520757,9.68716386146727,27.4090892100888,6.06858252805091,0.648402160577475,18.5523748625683,0.88864203671679,3089.93305304685,1700.37907748432,178.376194646937,0.813729906252385,7.30992720019565
2025,11.0099262198771,21.9698553985892,5.12695343214786,4.75928705998948,0.56861464027381,16.8718719334508,0.705766546887527,16.9316859385978,1.57197713352184,3367.69001072413,1689.35526408546,9.82412480842481,27.0528256286069,4.75937642951823,0.565757998291938,19.0076359628567,0.919841272467642,3347.0980000411,1681.75959536312,226.882154965495,1.07000165960025,6.8386573511405
2026,11.7043261552808,20.8966271457884,5.48341243846664,5.0916747993787,0.507654241683849,16.474790208729,0.634766976025825,18.5027474991048,0.935020980325073,3395.05068012072,2020.99882173954,9.98386510852188,26.4991085887905,5.11197515728141,0.507559539839768,18.6264572029389,0.866346620504567,3367.03057617975,2007.3831687529,174.788304930647,0.66211485890789,7.33605088091857
2027,10.7182086366052,22.016473793141,3.81580761787732,4.92707337368946,0.574842917444039,16.2850427060983,0.678426001721509,17.3658654228577,1.21785672608894,3111.25312751398,1712.59430099538,9.52458915304261,27.216053542066,4.94653204690028,0.573164887512477,18.4641008078741,0.89131730874976,3088.67590412365,1703.15453915675,173.628158072471,0.604466733105891,7.43660195207634
2028,10.6377970210267,21.380156523176,3.40095896421527,4.63955376964168,0.547725687321245,16.2953760869186,0.647085542029899,17.159508006195,1.12419893943235,3133.57054875081,1775.83678929472,9.49244873019035,26.9957110695339,4.65220599761777,0.546116113340832,18.6647157742369,0.895970677140031,3109.64180073938,1764.48832746787,171.477109107759,0.806965561776159,7.50903217187478
2029,11.2873386943049,22.4283157495195,4.31406273095021,4.97359969096436,0.571827711570095,15.933099891111,0.635957918569244,17.9709697378383,0.834814863489536,2962.90072262849,1733.376194797,9.75606899987923,27.4922040150521,4.98219462710813,0.569484970427714,18.2788040706151,0.865066180405187,2937.47375343055,1720.77880913082,163.924640830172,0.680760033664322,7.99227074299691
2030,11.3296880674566,21.4769451318303,5.13461662639175,5.35630008913892,0.542219777662952,16.2270696791558,0.628788810519278,17.0325952066,1.00719944120594,3092.17821992904,1830.54560050678,9.81111193597008,26.8301409659409,5.37220417217179,0.541395743196125,18.3342972492751,0.850312712008384,3067.37232291326,1818.23840063687,161.641431671625,0.550842591739488,7.65361427546108
