"Year","Temp_an_surf","Sal_an_surf","Temp_win_surf","DIN_win_surf","DIP_win_surf","totN_an_surf","totP_an_surf","Temp_sum_surf","Chla_sum_surf","DOC_sum_surf","DOCter_sum_surf","Temp_an_tot","Sal_an_tot","DIN_an_tot","DIP_an_tot","totN_an_tot","totP_an_tot","DOC_an_tot","DOCter_an_tot","PP_an","Nfix_an","Secchi_sum"
1991,8.23491085168686,15.0542741668693,0.131687831749089,7.37967830619839,0.776880906092088,19.9655573137628,0.745095717116927,15.980597649433,2.49254141782166,3940.303330169,2390.91667180178,7.85398112561751,16.8218926035495,7.30776984912201,0.771452101890163,20.3923083137305,0.876156888004917,3947.5346543119,2403.02793142386,208.094093111359,2.54897538710596,5.26219716388224
1992,9.57229330009668,15.2203686088717,2.63863262527852,7.12782054706685,0.663700133055777,20.413648762868,0.7123770016216,15.8875351077057,2.35639636502965,4003.6180930502,2343.80546021675,9.09905272502797,17.385208464874,7.0633703500959,0.660004651186061,22.0704863910166,0.897695221016784,4008.62967433052,2355.7039908815,204.63487475335,1.76106476184279,5.21682200405343
1993,9.11754714926007,15.2883558999335,1.95557889251757,8.32152231178395,0.698243905485811,21.1676140811117,0.703524292437407,15.9844654839771,2.07523434458297,3792.84450104213,2199.48584682028,8.70136423092801,17.5215633930327,8.21654948536542,0.693134796856466,22.8288316350775,0.907206969885166,3796.38418236229,2212.87123155427,200.770854682029,1.8597556073882,5.75155140136495
1994,7.46259175525781,15.8385798484924,2.12291722653347,11.1383684116515,0.79331645756153,21.0929149956213,0.709805303498158,12.3843882661162,1.45389224124799,3513.93841455177,2356.97784113129,7.1041772328775,17.5185782116874,11.0632578539184,0.790441123795214,22.027259804192,0.850604748056496,3523.77459977046,2369.98492801198,119.255179833118,0.827791120753071,6.60669822310721
1995,9.00025264070982,15.636838729766,2.01365850585245,6.74983896389175,0.674696101115114,20.6421464834658,0.725510298661706,16.1256658317663,2.38965917463851,3862.91814817069,2232.96412097453,8.6923453448296,17.0906757993237,6.72492485279805,0.672158184129582,21.301869664642,0.846783981633842,3868.46156800564,2244.84919314923,222.276105482575,2.20247564403268,5.50270368287719
1996,9.21541911697885,15.9199901386444,1.46851419592269,6.10789449881232,0.5662551834034,18.9631706752637,0.697289550267143,15.4761960764886,2.22594426921166,3931.16969538221,2180.56134465845,8.96351199073409,17.7564196507923,6.03951754089231,0.562052640682062,19.649549499823,0.850061513609007,3935.66846873659,2192.48337186866,207.856757065739,2.06555167939025,5.39719195542315
1997,6.95731396869531,16.5206524011784,0.865153316506518,6.18132877702022,0.659156126068608,19.3044283093667,0.69878679385072,13.0350658502821,2.06167159090426,3420.73812083287,2152.6795038182,6.83373791010992,17.6624230509478,6.1212693597188,0.655706561565779,19.7961992052608,0.769795509849525,3431.09150789177,2164.28638800904,139.012656872769,1.60433790798759,6.23168588437927
1998,8.10984651515673,16.7522701451826,0.426696234440144,7.06024841541033,0.563843788013951,19.7056213020105,0.640443295522074,14.9401207714797,1.58246603643366,3542.57335676593,2105.58784980094,7.82139957752324,18.2284222183653,6.99849150967979,0.560471026477792,20.3267998588879,0.762607554526087,3547.32360314312,2118.27233678947,169.39291509119,0.955061227853809,6.47711280020209
1999,7.75842059815825,15.1927849104928,1.06318299412783,7.85629391461759,0.629188991720232,20.3503358510124,0.714517528149044,14.9045505223553,2.03062156307643,3885.23383414706,2283.60440447453,7.69419999816201,16.598221640169,7.78618323459762,0.62576304995607,20.8381066565557,0.828799045086118,3893.30422821608,2293.84529748069,194.473533556931,1.58597345087862,5.63895588595873
2000,8.90837853799088,16.1029857611345,1.5655152514309,7.13881485296935,0.72954116179405,18.7437969021463,0.698404029592142,16.0316645833483,1.9282130138831,3816.64433720867,2269.51507248219,8.42053143322104,17.9086231664892,7.07563592319837,0.723868170246628,19.0683036970366,0.837547952136887,3824.94610014194,2282.5336848498,183.482430421177,1.71912833765738,5.81559065250515
2001,8.01183051882424,17.3625836477338,0.808041577414191,6.70681732283564,0.613365811233507,18.0447644099386,0.638487730411024,14.4834370187065,1.59894221390195,3295.91344767669,2034.64930290777,7.82021991422495,19.0139781879283,6.64841403928492,0.609608868475812,18.5122778040449,0.755655493076474,3305.23837232049,2045.43616981078,144.521547108788,1.46312454115023,6.77986702280246
2002,7.66162187532983,17.022851560318,0.642267387345233,7.17831331721043,0.61031364458732,18.4946705613961,0.681167506893324,14.5833069172468,1.89508138362395,3535.52184081679,2098.97856842961,7.56290191093861,18.6522299100906,7.12713724866833,0.606211878966772,18.84291997117,0.818893707435844,3539.16885558992,2109.48126908459,163.751521746861,1.51776449025685,6.27347224444417
2003,9.05802153632943,16.9910229442246,2.86607453956975,6.72043298830346,0.697603027413198,18.6711941969384,0.736609740910871,15.0312824319362,2.60593481287113,3899.92627096783,1963.08614869679,8.98287725410267,18.306315177735,6.65659155642546,0.694046052168998,19.0406723350185,0.826473865110167,3910.2725572816,1973.19780667942,251.63351383548,2.7380560123396,5.23582351178196
2004,8.95686460187813,15.8623826941595,1.23787083184985,6.31016332737637,0.64850326369535,18.545275149459,0.686931542315499,15.7915377017589,2.04565958671971,3894.05484280013,2248.30355718312,8.62022495331512,17.5707046775827,6.27111629378089,0.645440364199163,18.9023972064742,0.815712968188264,3903.01031773153,2259.93911831274,187.900210465945,1.89511773026139,5.58673833283652
